act_pos0,act_pos1,act_pos2,act_torq0,act_torq1,act_torq2
-3,0,1,-61,-61,-61
-3,0,1,12,12,12
-3,0,1,57,57,57
-3,0,1,55,55,55
-3,0,1,-1,-1,-1
-3,0,1,-16,-16,-16
-3,0,1,43,43,43
-3,0,1,16,16,16
-3,0,1,63,63,63
-3,0,1,5,5,5
-3,0,1,38,38,38
-3,0,1,-82,-82,-82
-3,0,2,-35,-35,-35
-3,0,1,-14,-14,-14
-3,0,1,87,87,87
-4,0,1,-51,-51,-51
-3,0,1,-126,-126,-126
-3,0,1,23,23,23
-4,0,1,-37,-37,-37
-3,0,1,-3,-3,-3
-3,0,1,69,69,69
-3,0,1,-4,-4,-4
-3,0,1,68,68,68
-3,0,1,86,86,86
-3,0,1,47,47,47
-3,0,1,-35,-35,-35
-3,0,1,-24,-24,-24
-4,0,1,29,29,29
-5,0,1,-116,-116,-116
-8,0,1,7,7,7
-13,0,1,61,61,61
-20,0,1,-46,-46,-46
-27,0,1,-67,-67,-67
-39,0,1,-66,-66,-66
-52,0,1,-95,-95,-95
-69,0,1,35,35,35
-87,0,1,-168,-168,-168
-109,0,1,-52,-52,-52
-135,0,1,-46,-46,-46
-167,0,1,-44,-44,-44
-197,0,1,145,145,145
-229,0,1,-88,-88,-88
-264,-1,1,-227,-227,-227
-300,-3,1,-82,-82,-82
-340,-3,1,-34,-34,-34
-382,-3,1,12,12,12
-426,-3,1,73,73,73
-473,-3,1,29,29,29
-522,-3,1,67,67,67
-576,-4,1,-163,-163,-163
-631,-4,1,-71,-71,-71
-695,-4,1,-146,-146,-146
-755,-4,1,-223,-223,-223
-817,-4,1,-142,-142,-142
-883,-4,1,-60,-60,-60
-952,-4,1,-209,-209,-209
-1023,-4,1,21,21,21
-1095,-4,1,-27,-27,-27
-1171,-4,1,-92,-92,-92
-1249,-4,1,23,23,23
-1331,-4,1,-159,-159,-159
-1416,-4,1,-124,-124,-124
-1510,-4,1,-104,-104,-104
-1599,-4,1,66,66,66
-1688,-4,1,-174,-174,-174
-1781,-4,1,-47,-47,-47
-1878,-4,1,-14,-14,-14
